Ukrainian,Transliteration,English
Автономна Республіка Крим,Avtonomna Respublika Krym,Autonomous Republic of Crimea
Вінницька область,Vinnytska oblast,Vinnytsia Oblast
Волинська область,Volynska oblast,Volyn Oblast
Дніпропетровська область,Dnipropetrovska oblast,Dnipropetrovsk Oblast
Донецька область,Donetska oblast,Donetsk Oblast
Житомирська область,Zhytomyrska oblast,Zhytomyr Oblast
Закарпатська область,Zakarpatska oblast,Zakarpattia Oblast
Запорізька область,Zaporizka oblast,Zaporizhzhia Oblast
Івано-Франківська область,Ivano-Frankivska oblast,Ivano-Frankivsk Oblast
Київська область,Kyivska oblast,Kyiv Oblast
Кіровоградська область,Kirovohradska oblast,Kirovohrad Oblast
Луганська область,Luhanska oblast,Luhansk Oblast
Львівська область,Lvivska oblast,Lviv Oblast
Миколаївська область,Mykolaivska oblast,Mykolaiv Oblast
Одеська область,Odeska oblast,Odesa Oblast
Полтавська область,Poltavska oblast,Poltava Oblast
Рівненська область,Rivnenska oblast,Rivne Oblast
Сумська область,Sumska oblast,Sumy Oblast
Тернопільська область,Ternopilska oblast,Ternopil Oblast
Харківська область,Kharkivska oblast,Kharkiv Oblast
Херсонська область,Khersonska oblast,Kherson Oblast
Хмельницька область,Khmelnytska oblast,Khmelnytskyi Oblast
Черкаська область,Cherkaska oblast,Cherkasy Oblast
Чернівецька область,Chernivetska oblast,Chernivtsi Oblast
Чернігівська область,Chernihivska oblast,Chernihiv Oblast
місто Київ,Misto Kyiv,City of Kyiv
місто Севастополь,misto Sevastopol,City of Sevastopol